Benchmarks   | Base       | BaseStd.   | Inc        | IncStd.   
bs           | 88128.13   | 15.68608   | 0.016637   | 0.000186  
bssort100    | 345416.14  | 21.75363   | 0.784699   | 0.00011   
crc          | 201061.33  | 16.809554  | 0.507858   | 0.000134  
expinit      | 79906.94   | 14.403347  | 0.043592   | 0.000221  
fft          | 182631.61  | 18.489941  | 0.065803   | 0.000121  
insertsort   | 74641.8    | 19.181762  | 0.031037   | 0.000326  
jfdctint     | 174069.92  | 15.075596  | 0.031518   | 0.000104  
lcdnum       | 60314.38   | 16.787364  | 0.004652   | 0.000304  
matmult      | 487745.43  | 21.190212  | 0.822329   | 9.4e-05   
minver       | 51883.12   | 11.855193  | 0.00069    | 0.000327  
ns           | 88565.02   | 15.353163  | 0.252747   | 0.000204  
nsichneu     | 1897180.08 | 25.702405  | 0.696326   | 2.7e-05   
qurt         | 114525.06  | 19.205635  | 0.010925   | 0.000163  
select       | 123066.59  | 22.285015  | 0.029694   | 0.000201  
simple       | 53936.84   | 18.182255  | 0.000775   | 0.00041   
sqrt         | 72772.27   | 14.03984   | 0.0062     | 0.00023   
statemate    | 266223.86  | 18.556411  | 0.005219   | 7.3e-05   
ud           | 137366.31  | 21.374609  | 0.041085   | 0.000256  
